Pgen,Pgenn,Temperature,Selection,Population,Tank,Compa No.,Dish,Measure,Size
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.782117083
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.68596206
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.773934601
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.805479402
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.756207175
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.789163326
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.848325085
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.776790458
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.707415951
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.754374831
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.736928133
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.769271221
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.760222786
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.81232302
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.729756831
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.782117083
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.800308284
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.726335186
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.768191037
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.810276004
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.778925479
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.816740622
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.758765023
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.823490659
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.867999941
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.753273286
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.779635854
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.742913435
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.779280747
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.669213809
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.793709839
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.742913435
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.777858701
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.754374831
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.73089382
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.793709839
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.719827704
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.758765023
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.811300158
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.808566198
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.815723299
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.758765023
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.840787181
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.899015255
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.855149492
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.779280747
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.698358763
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.804103689
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.744030319
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.816740622
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.810276004
F2,2,H,C,HTC4,Tank4,1.1,1.1F2,Yolk,0.747741216
