Pgen,Pgenn,Temperature,Selection,Population,days since spawned,Tank,Compa No,Dish,egg number,hatched eggs,total_alive,Hatch_Pr,Incubation density,Pr_Alive
F1,1,L,C,LTC1,0,Tank2,2.1,2.1F1,263,0,263,0,263,1
F1,1,L,C,LTC1,1,Tank2,2.1,2.1F1,86,0,86,0,263,0.326996198
F1,1,L,C,LTC1,2,Tank2,2.1,2.1F1,67,0,67,0,263,0.254752852
F1,1,L,C,LTC1,3,Tank2,2.1,2.1F1,50,17,67,0.253731343,263,0.254752852
F1,1,L,C,LTC1,4,Tank2,2.1,2.1F1,9,57,66,0.850746269,263,0.25095057
F1,1,L,C,LTC1,5,Tank2,2.1,2.1F1,2,64,66,0.96969697,263,0.25095057
F1,1,L,G,LTG1,0,Tank2,2.2,2.2F1,247,0,247,0,247,1
F1,1,L,G,LTG1,1,Tank2,2.2,2.2F1,166,0,166,0,247,0.672064777
F1,1,L,G,LTG1,2,Tank2,2.2,2.2F1,138,0,138,0,247,0.558704453
F1,1,L,G,LTG1,3,Tank2,2.2,2.2F1,108,14,122,0.101449275,247,0.493927126
F1,1,L,G,LTG1,4,Tank2,2.2,2.2F1,10,105,115,0.860655738,247,0.465587045
F1,1,L,G,LTG1,5,Tank2,2.2,2.2F1,1,113,114,0.982608696,247,0.461538462
F1,1,L,S,LTS1,0,Tank2,2.3,2.3F1,179,0,179,0,179,1
F1,1,L,S,LTS1,1,Tank2,2.3,2.3F1,87,0,87,0,179,0.48603352
F1,1,L,S,LTS1,2,Tank2,2.3,2.3F1,87,0,87,0,179,0.48603352
F1,1,L,S,LTS1,3,Tank2,2.3,2.3F1,55,25,80,0.287356322,179,0.446927374
F1,1,L,S,LTS1,4,Tank2,2.3,2.3F1,0,80,80,1,179,0.446927374
F1,1,L,S,LTS1,5,Tank2,2.3,2.3F1,0,78,78,0.975,179,0.43575419
F1,1,L,G,LTG2,0,Tank4,4.1,4.1F1,236,0,236,0,236,1
F1,1,L,G,LTG2,1,Tank4,4.1,4.1F1,119,0,119,0,236,0.504237288
F1,1,L,G,LTG2,2,Tank4,4.1,4.1F1,118,0,118,0,236,0.5
F1,1,L,G,LTG2,3,Tank4,4.1,4.1F1,75,19,94,0.161016949,236,0.398305085
F1,1,L,G,LTG2,4,Tank4,4.1,4.1F1,6,93,99,0.989361702,236,0.419491525
F1,1,L,G,LTG2,5,Tank4,4.1,4.1F1,0,99,99,1,236,0.419491525
F1,1,L,C,LTC2,0,Tank4,4.2,4.2F1,97,0,97,0,97,1
F1,1,L,C,LTC2,1,Tank4,4.2,4.2F1,39,0,39,0,97,0.402061856
F1,1,L,C,LTC2,2,Tank4,4.2,4.2F1,37,0,37,0,97,0.381443299
F1,1,L,C,LTC2,3,Tank4,4.2,4.2F1,27,7,34,0.189189189,97,0.350515464
F1,1,L,C,LTC2,4,Tank4,4.2,4.2F1,1,30,31,0.882352941,97,0.319587629
F1,1,L,C,LTC2,5,Tank4,4.2,4.2F1,1,30,31,0.967741935,97,0.319587629
F1,1,L,S,LTS2,0,Tank4,4.3,4.3F1,148,0,148,0,148,1
F1,1,L,S,LTS2,1,Tank4,4.3,4.3F1,61,0,61,0,148,0.412162162
F1,1,L,S,LTS2,2,Tank4,4.3,4.3F1,61,0,61,0,148,0.412162162
F1,1,L,S,LTS2,3,Tank4,4.3,4.3F1,24,19,43,0.31147541,148,0.290540541
F1,1,L,S,LTS2,4,Tank4,4.3,4.3F1,1,40,41,0.930232558,148,0.277027027
F1,1,L,S,LTS2,5,Tank4,4.3,4.3F1,1,40,41,0.975609756,148,0.277027027
F1,1,L,C,LTC3,0,Tank5,5.1,5.1F1,231,0,231,0,231,1
F1,1,L,C,LTC3,1,Tank5,5.1,5.1F1,107,0,107,0,231,0.463203463
F1,1,L,C,LTC3,2,Tank5,5.1,5.1F1,87,2,89,0.018691589,231,0.385281385
F1,1,L,C,LTC3,3,Tank5,5.1,5.1F1,45,27,72,0.303370787,231,0.311688312
F1,1,L,C,LTC3,4,Tank5,5.1,5.1F1,6,61,67,0.847222222,231,0.29004329
F1,1,L,C,LTC3,5,Tank5,5.1,5.1F1,1,61,62,0.910447761,231,0.268398268
F1,1,L,S,LTS3,0,Tank5,5.2,5.2F1,92,0,92,0,92,1
F1,1,L,S,LTS3,1,Tank5,5.2,5.2F1,72,0,72,0,92,0.782608696
F1,1,L,S,LTS3,2,Tank5,5.2,5.2F1,70,0,70,0,92,0.760869565
F1,1,L,S,LTS3,3,Tank5,5.2,5.2F1,53,10,63,0.142857143,92,0.684782609
F1,1,L,S,LTS3,4,Tank5,5.2,5.2F1,3,59,62,0.936507937,92,0.673913043
F1,1,L,S,LTS3,5,Tank5,5.2,5.2F1,1,60,61,0.967741935,92,0.663043478
F1,1,L,G,LTG3,0,Tank5,5.3,5.3F1,241,0,241,0,241,1
F1,1,L,G,LTG3,1,Tank5,5.3,5.3F1,152,0,152,0,241,0.630705394
F1,1,L,G,LTG3,2,Tank5,5.3,5.3F1,138,2,140,0.013157895,241,0.580912863
F1,1,L,G,LTG3,3,Tank5,5.3,5.3F1,78,32,110,0.228571429,241,0.456431535
F1,1,L,G,LTG3,4,Tank5,5.3,5.3F1,7,103,110,0.936363636,241,0.456431535
F1,1,L,G,LTG3,5,Tank5,5.3,5.3F1,1,105,106,0.954545455,241,0.439834025
F1,1,H,C,HTC4,0,Tank1,1.1,1.1F1,349,0,349,0,349,1
F1,1,H,C,HTC4,1,Tank1,1.1,1.1F1,166,0,166,0,349,0.475644699
F1,1,H,C,HTC4,2,Tank1,1.1,1.1F1,115,51,166,0.309090909,349,0.475644699
F1,1,H,C,HTC4,3,Tank1,1.1,1.1F1,0,166,166,1,349,0.475644699
F1,1,H,C,HTC4,4,Tank1,1.1,1.1F1,0,166,166,1,349,0.475644699
F1,1,H,S,HTS4,0,Tank1,1.2,1.2F1,291,0,291,0,291,1
F1,1,H,S,HTS4,1,Tank1,1.2,1.2F1,99,0,99,0,291,0.340206186
F1,1,H,S,HTS4,2,Tank1,1.2,1.2F1,57,20,77,0.202020202,291,0.264604811
F1,1,H,S,HTS4,3,Tank1,1.2,1.2F1,12,58,70,0.753246753,291,0.240549828
F1,1,H,S,HTS4,4,Tank1,1.2,1.2F1,1,68,69,0.971428571,291,0.237113402
F1,1,H,G,HTG4,0,Tank1,1.3,1.3F1,268,0,268,0,268,1
F1,1,H,G,HTG4,1,Tank1,1.3,1.3F1,126,0,126,0,268,0.470149254
F1,1,H,G,HTG4,2,Tank1,1.3,1.3F1,27,99,126,0.785714286,268,0.470149254
F1,1,H,G,HTG4,3,Tank1,1.3,1.3F1,0,126,126,1,268,0.470149254
