Pgen,Pgenn,Temperature,Selection,Population,Tank,Compa No,Dish,Recruit Surv
F1,1,L,C,LTC1,Tank2,2.1,2.1F1,250
F1,1,L,G,LTG1,Tank2,2.2,2.2F1,250
F1,1,L,S,LTS1,Tank2,2.3,2.3F1,250
F1,1,L,G,LTG2,Tank4,4.1,4.1F1,250
F1,1,L,C,LTC2,Tank4,4.2,4.2F1,250
F1,1,L,S,LTS2,Tank4,4.3,4.3F1,250
F1,1,L,C,LTC3,Tank5,5.1,5.1F1,250
F1,1,L,S,LTS3,Tank5,5.2,5.2F1,250
F1,1,L,G,LTG3,Tank5,5.3,5.3F1,250
F1,1,H,C,HTC4,Tank1,1.1,1.1F1,250
F1,1,H,S,HTS4,Tank1,1.2,1.2F1,250
F1,1,H,G,HTG4,Tank1,1.3,1.3F1,250
F1,1,H,S,HTS5,Tank3,3.1,3.1F1,250
F1,1,H,C,HTC5,Tank3,3.2,3.2F1,250
F1,1,H,G,HTG5,Tank3,3.3,3.3F1,250
F1,1,H,S,HTS6,Tank6,6.1,6.1F1,250
F1,1,H,G,HTG6,Tank6,6.2,6.2F1,250
F1,1,H,C,HTC6,Tank6,6.3,6.3F1,250
F2,2,L,C,LTC1,Tank2,2.1,2.1F2,250
F2,2,L,G,LTG1,Tank2,2.2,2.2F2,250
F2,2,L,S,LTS1,Tank2,2.3,2.3F2,250
F2,2,L,G,LTG2,Tank4,4.1,4.1F2,250
F2,2,L,C,LTC2,Tank4,4.2,4.2F2,250
F2,2,L,S,LTS2,Tank4,4.3,4.3F2,250
F2,2,L,C,LTC3,Tank5,5.1,5.1F2,250
F2,2,L,S,LTS3,Tank5,5.2,5.2F2,250
F2,2,L,G,LTG3,Tank5,5.3,5.3F2,250
F2,2,H,C,HTC4,Tank1,1.1,1.1F2,250
F2,2,H,S,HTS4,Tank1,1.2,1.2F2,250
F2,2,H,G,HTG4,Tank1,1.3,1.3F2,214
F2,2,H,S,HTS5,Tank3,3.1,3.1F2,250
F2,2,H,C,HTC5,Tank3,3.2,3.2F2,250
F2,2,H,G,HTG5,Tank3,3.3,3.3F2,250
F2,2,H,S,HTS6,Tank6,6.1,6.1F2,250
F2,2,H,G,HTG6,Tank6,6.2,6.2F2,250
F2,2,H,C,HTC6,Tank6,6.3,6.3F2,250
F3,3,L,C,LTC1,Tank2,2.1,2.1F3,250
F3,3,L,G,LTG1,Tank2,2.2,2.2F3,250
F3,3,L,S,LTS1,Tank2,2.3,2.3F3,250
F3,3,L,G,LTG2,Tank4,4.1,4.1F3,250
F3,3,L,C,LTC2,Tank4,4.2,4.2F3,250
F3,3,L,S,LTS2,Tank4,4.3,4.3F3,250
F3,3,L,C,LTC3,Tank5,5.1,5.1F3,250
F3,3,L,S,LTS3,Tank5,5.2,5.2F3,250
F3,3,L,G,LTG3,Tank5,5.3,5.3F3,250
F3,3,H,C,HTC4,Tank1,1.1,1.1F3,250
F3,3,H,S,HTS4,Tank1,1.2,1.2F3,250
F3,3,H,G,HTG4,Tank1,1.3,1.3F3,250
F3,3,H,S,HTS5,Tank3,3.1,3.1F3,250
F3,3,H,C,HTC5,Tank3,3.2,3.2F3,250
F3,3,H,G,HTG5,Tank3,3.3,3.3F3,250
F3,3,H,S,HTS6,Tank6,6.1,6.1F3,250
F3,3,H,G,HTG6,Tank6,6.2,6.2F3,250
F3,3,H,C,HTC6,Tank6,6.3,6.3F3,250
F4,4,L,C,LTC1,Tank2,2.1,2.1F4,250
F4,4,L,G,LTG1,Tank2,2.2,2.2F4,250
F4,4,L,S,LTS1,Tank2,2.3,2.3F4,250
F4,4,L,G,LTG2,Tank4,4.1,4.1F4,250
F4,4,L,C,LTC2,Tank4,4.2,4.2F4,250
F4,4,L,S,LTS2,Tank4,4.3,4.3F4,250
F4,4,L,C,LTC3,Tank5,5.1,5.1F4,250
F4,4,L,S,LTS3,Tank5,5.2,5.2F4,250
F4,4,L,G,LTG3,Tank5,5.3,5.3F4,250
F4,4,H,C,HTC4,Tank1,1.1,1.1F4,210
F4,4,H,S,HTS4,Tank1,1.2,1.2F4,179
F4,4,H,G,HTG4,Tank1,1.3,1.3F4,196
F4,4,H,S,HTS5,Tank3,3.1,3.1F4,180
F4,4,H,C,HTC5,Tank3,3.2,3.2F4,191
F4,4,H,G,HTG5,Tank3,3.3,3.3F4,161
F4,4,H,S,HTS6,Tank6,6.1,6.1F4,92
